,lat,lon
0,37.7833570391,-122.4167107338
1,37.7754207067,-122.4034047915
2,37.7144811824,-122.4088947639
3,37.7795053408,-122.4436600812
4,37.7697977169,-122.448578485
5,37.7853730435,-122.4313697724
6,37.7908806834,-122.4106268128
7,37.7441142097,-122.4940379095
8,37.7285280627,-122.4756474608
9,37.7967808411,-122.4303718293
10,37.7748585741,-122.4276322158
11,37.7849590113,-122.4195495688
12,37.7282862193,-122.41378387
13,37.8031360313,-122.4181535134
14,37.7658426354,-122.4065537008
15,37.7281042224,-122.4022101077
16,37.779216641,-122.4385278996
17,37.7882398998,-122.4092560965
18,37.7830500141,-122.4200259559
19,37.7247299559,-122.3879308018
20,37.7875433618,-122.3894854728
21,37.723859012,-122.4556158615
22,37.7886491245,-122.4060218385
23,37.735537838,-122.3937772417
24,37.735537838,-122.3937772417
25,37.7758799875,-122.492508269
26,37.7758799875,-122.492508269
27,37.802303031,-122.409563673
28,37.7173273824,-122.4305179528
29,37.762048275,-122.3944644032
30,37.7946640035,-122.4281852011
31,37.7285280627,-122.4756474608
32,37.7882937823,-122.4134102385
33,37.7850290612,-122.4004735802
34,37.7850290612,-122.4004735802
35,37.7811340568,-122.4090112066
36,37.7811340568,-122.4090112066
37,37.7925243502,-122.4091998248
38,37.7623585991,-122.4237617495
39,37.7604853376,-122.4099973027
40,37.7643418582,-122.4304947954
41,37.7840280452,-122.4193662948
42,37.7840280452,-122.4193662948
43,37.7840280452,-122.4193662948
44,37.7623585991,-122.4237617495
45,37.743726817,-122.4811831716
46,37.7672561981,-122.404752559
47,37.7747684009,-122.458333474
48,37.7675027327,-122.4289500327
49,37.7675027327,-122.4289500327
50,37.7675027327,-122.4289500327
51,37.7834687205,-122.4125736432
52,37.7554333205,-122.4311619417
53,37.7554333205,-122.4311619417
54,37.7891732059,-122.4094454845
55,37.7799444052,-122.4143178579
56,37.7799444052,-122.4143178579
57,37.7637269223,-122.3879236226
58,37.7804792523,-122.4734108424
59,37.8005980627,-122.4193993272
60,37.7690591232,-122.4505458564
61,37.7606516284,-122.4132236774
62,37.7536178531,-122.3955132649
63,37.7413405435,-122.4928393153
64,37.7729208953,-122.439088399
65,37.789120925,-122.40377225
66,37.789120925,-122.40377225
67,37.774950768,-122.4301935871
68,37.764780859,-122.4025645296
69,37.7720959505,-122.4206573255
70,37.8043572547,-122.4370463325
71,37.7713884833,-122.4472840703
72,37.7820530304,-122.4622767738
